EmbryoNr;Measure;T-8;T-7;T-6;T-5;T-4;T-3;T-2;T-1;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23
Emb6;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.14;3.29;3.33;3.44;3.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.47;3.35;3.27;3.06;2.88;2.78;2.71;2.75;2.68;2.6;2.58;2.57;2.63;2.41;2.25;2.27;2.29;2.08;2.06;2.09;NA
Emb8;Med4;NA;NA;NA;NA;NA;NA;NA;NA;2.76;2.88;2.91;2.95;2.93;3.02;2.93;3.12;2.87;2.53;2.39;2.39;2.26;2.4;2.14;2.1;2.2;2.09;1.8;1.8;1.8;1.87;2.25;NA
Emb9;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.46;2.4;2.54;2.48;2.54;2.61;2.58;2.57;2.38;2.38;2.45;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.51;2.42;2.34;2.3;2.3;2.06;2.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med4;NA;NA;NA;NA;NA;NA;2.09;2.07;2.39;2.44;2.38;2.3;2.49;2.57;2.61;2.62;2.07;2.04;1.87;1.96;1.99;1.96;1.96;1.96;1.96;2;2.07;2.04;1.98;2.04;NA;NA
Emb12;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.13;3.381;3.438;3.319;3.296;3.315;3.263;3.035;2.75;2.618;2.608;2.414;2.281;2.309;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb13;Med4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.43;3.67;3.78;3.84;3.7;3.59;3.48;3.4;3.26;2.95;2.65;2.53;2.31;2.19;NA;NA;NA;NA;NA;NA;NA;NA
Emb1;Med5;NA;NA;NA;NA;NA;NA;NA;NA;2.62;2.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med5;NA;NA;NA;NA;NA;NA;NA;NA;2.12;2.05;2.16;2.19;2.04;2;2.01;1.76;1.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
