NumberMeasuredFrames;Time;C-pPL;C-PS;C-N;N-pPL;N-PS;PSM;C-Seg;SEG;C-HF;HHStage;Embryo;CultureType
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;-3,87;2,69;2,37;;;;;;;;4;1;1
6;-2,87;2,78;2,31;;;;;;;;4;1;1
6;-1,87;2,86;2,39;;;;;;;;4;1;1
6;-0,87;3,03;2,64;;;;;;;;4;1;1
6;0,13;3,36;2,83;0,22;3,14;2,62;;;;;5;1;1
6;1,13;3,64;3,15;0,25;3,38;2,9;;;;;5;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
6;;;;;;;;;;;;1;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;-4,95;1,63;1,53;;;;;;;;4;2;1
14;-3,95;1,75;1,67;;;;;;;;4;2;1
14;-2,95;1,91;1,83;;;;;;;;4;2;1
14;-1,95;2,09;2;;;;;;;;4;2;1
14;-0,95;2,26;2,18;;;;;;;;4;2;1
14;0,05;2,5;2,41;0,31;2,2;2,12;;;;;5;2;1
14;1,05;2,7;2,52;0,48;2,23;2,05;;;;;5;2;1
14;2,05;2,85;2,73;0,57;2,29;2,16;;;;;5;2;1
14;3,05;3,06;2,93;0,74;2,32;2,19;;;;;5;2;1
14;4,05;3,22;3,05;1,01;2,21;2,04;;;;;5;2;1
14;5,05;3,32;3,15;1,16;2,16;2;;;;;5;2;1
14;6,05;3,54;3,35;1,34;2,2;2,01;;;;0,06;6;2;1
14;7,05;3,64;3,35;1,6;2,03;1,76;;;;0,16;6;2;1
14;8,05;3,7;3,59;1,76;1,93;1,83;0,39;1,18;0,28;0,23;8;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
14;;;;;;;;;;;;2;1
25;;;;;;;;;;;;3;1
25;;;;;;;;;;;;3;1
25;;;;;;;;;;;;3;1
25;;;;;;;;;;;;3;1
25;;;;;;;;;;;;3;1
25;-0,55;3,24;2,82;;;;;;;;4;3;1
25;0,4;3,64;3,24;0,15;3,51;3,11;;;;;5;3;1
25;1,4;3,52;3,21;0,21;3,3;2,99;;;;;5;3;1
25;2,4;3,37;2,99;0,19;3,19;2,8;;;;;5;3;1
25;3,4;3,4;3,16;0,36;3,05;2,8;;;;;5;3;1
25;4,4;3,48;3,22;0,59;2,89;2,64;;;;;5;3;1
25;5,4;3,54;3,22;0,72;2,82;2,5;;;;;5;3;1
25;6,4;3,76;3,56;1,13;2,64;2,44;;;;;5;3;1
25;7,4;4,07;3,61;1,54;2,52;2,07;;;;;5;3;1
25;8,4;4,24;3,84;1,76;2,47;2,07;;;;0,15;6;3;1
25;9,4;4,37;3,83;2,1;2,26;1,73;;;;0,28;6;3;1
25;10,4;4,5;4,12;2,32;2,18;1,8;;;;0,39;6;3;1
25;11,4;4,7;4,35;2,63;2,07;1,73;0,68;;0,12;0,44;7;3;1
25;12,4;4,77;4,41;2,73;2,03;1,68;0,67;1,98;0,27;0,54;7;3;1
25;13,4;4,82;4,4;2,9;1,93;1,5;0,75;1,92;0,42;0,74;8;3;1
25;14,4;5;4,54;3,01;1,99;1,53;0,67;1,96;0,54;0,84;8;3;1
